kdkec,nmkec,kddesa,nmdesa,nmsls,idsls,latitude,longitude
070,TEGINENENG,009,GUNUNG SUGIH BARU,RT 004 DUSUN SUMBERAG,18090700090004,-5.140995471851852,105.20403628314816
070,TEGINENENG,009,GUNUNG SUGIH BARU,RT 007 DUSUN CAMPANG,18090700090007,-5.1227243809523815,105.18220961904757
070,TEGINENENG,009,GUNUNG SUGIH BARU,RT 002 DUSUN INDUK,18090700090002,-5.132579565217393,105.19105561594202
070,TEGINENENG,008,NEGARA RATUWATES,LADANG,18090700081002,-5.13769173949996,105.1899399933038
070,TEGINENENG,008,NEGARA RATUWATES,RT 004 DUSUN TANJUNG ANOM,18090700080004,-5.145277375886525,105.16353386524818
070,TEGINENENG,008,NEGARA RATUWATES,SAWAH,18090700081001,-5.13384077599995,105.17190139332496
070,TEGINENENG,008,NEGARA RATUWATES,RT 001 DUSUN INDUK,18090700080001,-5.137326540880504,105.18720915094345
070,TEGINENENG,008,NEGARA RATUWATES,RT 003 DUSUN TANJUNG ANOM,18090700080003,-5.143134166666666,105.16908063218389
070,TEGINENENG,005,BATANG HARI OGAN,RT 002 RW 01,18090700050002,-5.1713539072386725,105.22060228500574
070,TEGINENENG,007,KOTA AGUNG,RT 017 DUSUN BERNAI,18090700070017,-5.149497681820505,105.18588078754799
070,TEGINENENG,007,KOTA AGUNG,RT 013 DUSUN MEKAR SARI,18090700070013,-5.1472433967098015,105.16117884745651
070,TEGINENENG,007,KOTA AGUNG,RT 009 DUSUN MASGAR,18090700070009,-5.155340362476426,105.1794977818749
070,TEGINENENG,007,KOTA AGUNG,RT 005 DUSUN BERNAI,18090700070005,-5.149546810830786,105.18329323608094
070,TEGINENENG,007,KOTA AGUNG,RT 012 DUSUN MEKAR SARI,18090700070012,-5.146011050301849,105.16486407239567
070,TEGINENENG,007,KOTA AGUNG,RT 011 DUSUN IKATAN SAUDARA,18090700070011,-5.148389411032648,105.17677348762584
070,TEGINENENG,007,KOTA AGUNG,RT 008 DUSUN MASGAR,18090700070008,-5.152818676281051,105.18063712691851
070,TEGINENENG,007,KOTA AGUNG,RT 015 DUSUN MASGAR,18090700070015,-5.155513750500154,105.17523024877593
